ShipmentID,OrderDate,Warehouse,Carrier,ProductCategory,Units,ShippingCost,DistanceMiles,PromisedDays,ActualDays,LateFlag
SH803063,2025-02-10,Atlanta,RoadRunner,Apparel,302,1463.11,564,5,9,True
SH803064,2025-09-30,New Jersey,FastShip,Office,285,343.46,466,5,5,False
SH803065,2025-01-11,Chicago,NorthStar,Apparel,97,1332.88,1052,3,4,True
SH803066,2025-05-28,Atlanta,FastShip,Health,136,1246.68,1269,5,8,True
SH803067,2025-02-09,LA,FastShip,Apparel,297,333.85,2077,3,3,False
SH803068,2025-10-19,LA,NorthStar,Office,351,1338.96,1443,2,4,True
SH803069,2025-03-19,Chicago,FastShip,Apparel,379,537.74,1158,5,7,True
SH803070,2025-07-14,Atlanta,NorthStar,Home,170,769.58,260,7,6,False
SH803071,2025-11-02,Chicago,FastShip,Home,185,1411.79,904,7,9,True
SH803072,2025-01-07,Chicago,NorthStar,Apparel,305,423.64,2617,7,8,True
SH803073,2025-06-16,Dallas,NorthStar,Office,386,310.6,999,10,11,True
SH803074,2025-08-11,Chicago,FastShip,Health,74,1325.06,1446,5,9,True
SH803075,2025-04-05,Chicago,BlueFreight,Apparel,258,675.82,815,7,11,True
SH803076,2025-02-05,Chicago,BlueFreight,Apparel,95,1096.97,2569,5,9,True
SH803077,2025-10-28,LA,RoadRunner,Office,422,808.96,1882,3,7,True
SH803078,2025-06-28,Atlanta,BlueFreight,Health,140,701.9,475,7,10,True
SH803079,2025-03-21,LA,RoadRunner,Electronics,106,935.02,1612,3,3,False
SH803080,2025-09-15,New Jersey,RoadRunner,Home,79,177.32,2352,7,11,True
SH803081,2025-02-11,Chicago,BlueFreight,Health,479,767.07,2042,3,7,True
SH803082,2025-04-22,Atlanta,FastShip,Home,296,301.8,1260,2,1,False
SH803083,2025-10-02,Chicago,BlueFreight,Health,215,929.98,2633,5,4,False
SH803084,2025-05-19,Atlanta,FastShip,Apparel,389,1279.45,2640,10,13,True
SH803085,2025-09-01,Atlanta,RoadRunner,Electronics,100,1045.74,1350,5,9,True
SH803086,2025-03-31,Atlanta,BlueFreight,Apparel,228,484.86,2186,10,10,False
SH803087,2025-03-30,New Jersey,FastShip,Office,70,751.96,702,5,5,False
SH803088,2025-10-11,Chicago,BlueFreight,Office,442,924.16,2710,5,8,True
SH803089,2025-12-25,Dallas,NorthStar,Electronics,236,979.57,986,2,3,True
SH803090,2025-11-27,Atlanta,NorthStar,Office,204,221.29,1011,2,6,True
SH803091,2025-09-01,Chicago,RoadRunner,Health,316,58.49,2929,5,8,True
SH803092,2025-09-17,Atlanta,NorthStar,Home,45,566.3,546,5,6,True
SH803093,2025-10-14,Chicago,NorthStar,Office,249,488.47,1989,5,9,True
SH803094,2025-01-06,LA,NorthStar,Office,483,476.53,419,5,9,True
SH803095,2025-11-29,Chicago,FastShip,Health,94,1196.08,246,3,5,True
SH803096,2025-08-07,Chicago,FastShip,Home,80,177.88,302,10,13,True
SH803097,2025-11-18,Chicago,RoadRunner,Health,322,770.03,319,3,6,True
SH803098,2025-09-22,Dallas,RoadRunner,Apparel,480,980.79,1767,5,4,False
SH803099,2025-02-18,LA,NorthStar,Health,174,1310.49,2243,2,4,True
SH803100,2025-09-14,Chicago,FastShip,Office,281,411.94,1963,10,12,True
SH803101,2025-08-07,LA,RoadRunner,Home,96,1074.43,2552,7,8,True
SH803102,2025-07-27,Atlanta,FastShip,Health,159,1439.31,1569,2,4,True
SH803103,2025-05-09,New Jersey,FastShip,Home,345,460.64,564,5,7,True
SH803104,2025-03-23,Dallas,NorthStar,Office,13,853.56,552,2,2,False
SH803105,2025-10-30,Chicago,NorthStar,Electronics,493,1407.99,2625,7,11,True
SH803106,2025-08-03,LA,NorthStar,Apparel,144,1068.23,1036,7,8,True
SH803107,2025-01-15,Chicago,FastShip,Health,445,734.67,252,10,11,True
SH803108,2025-12-05,Dallas,BlueFreight,Health,457,633.76,1757,2,1,False
SH803109,2025-01-05,LA,RoadRunner,Office,348,1353.51,722,5,7,True
SH803110,2025-04-30,New Jersey,BlueFreight,Home,208,215.37,2560,10,10,False
SH803111,2025-12-11,New Jersey,FastShip,Health,497,700.35,68,3,4,True
SH803112,2025-11-12,Atlanta,NorthStar,Apparel,470,782.88,2088,7,9,True
SH803113,2025-03-17,Chicago,FastShip,Office,186,1153.16,2479,7,8,True
SH803114,2025-12-29,Chicago,NorthStar,Home,327,595.67,11,10,12,True
SH803115,2025-06-29,Chicago,RoadRunner,Electronics,118,917.66,1789,5,9,True
SH803116,2025-03-21,Chicago,FastShip,Home,364,178.56,1092,2,3,True
SH803117,2025-08-25,LA,NorthStar,Health,295,366.17,1858,3,4,True
SH803118,2025-12-13,Chicago,NorthStar,Office,145,1479.21,45,2,4,True
SH803119,2025-05-26,Atlanta,BlueFreight,Home,411,369.04,1284,3,6,True
SH803120,2025-04-01,New Jersey,NorthStar,Health,437,878.57,2210,3,4,True
SH803121,2025-07-27,Atlanta,FastShip,Home,205,933.26,1237,3,7,True
SH803122,2025-12-28,LA,NorthStar,Apparel,138,563.37,85,7,8,True
SH803123,2025-12-24,Chicago,FastShip,Electronics,195,1430.25,1440,10,13,True
SH803124,2025-09-11,Atlanta,RoadRunner,Office,362,551.12,1739,7,9,True
SH803125,2025-03-30,Atlanta,FastShip,Home,497,1089.32,2953,2,1,False
SH803126,2025-04-19,Chicago,BlueFreight,Office,292,38.09,2113,5,9,True
SH803127,2025-07-05,Chicago,NorthStar,Apparel,63,1172.07,1363,10,14,True
SH803128,2025-07-19,Chicago,RoadRunner,Apparel,220,814.07,1408,5,7,True
SH803129,2025-04-09,Dallas,BlueFreight,Health,356,764.07,682,5,7,True
SH803130,2025-01-20,New Jersey,RoadRunner,Apparel,318,1326.56,1921,10,9,False
SH803131,2025-06-13,Chicago,NorthStar,Electronics,465,675.25,1584,10,10,False
SH803132,2025-02-28,Chicago,FastShip,Health,403,397.68,2186,3,6,True
SH803133,2025-10-06,New Jersey,RoadRunner,Office,227,28.84,2237,2,6,True
SH803134,2025-07-05,New Jersey,NorthStar,Home,132,788.57,707,10,12,True
SH803135,2025-05-31,Chicago,RoadRunner,Health,246,845.6,214,3,2,False
SH803136,2025-03-30,Dallas,NorthStar,Home,370,674.12,2239,3,4,True
SH803137,2025-06-08,New Jersey,NorthStar,Office,112,1459.68,2179,3,5,True
SH803138,2025-09-10,Atlanta,RoadRunner,Home,314,935.54,1996,10,9,False
SH803139,2025-10-06,Atlanta,BlueFreight,Home,439,692.39,2627,2,1,False
SH803140,2025-12-29,New Jersey,RoadRunner,Home,162,535.15,796,3,2,False
SH803141,2025-11-24,Dallas,FastShip,Health,200,339.59,2393,7,8,True
SH803142,2025-07-06,LA,BlueFreight,Electronics,66,1415.55,2185,10,14,True
SH803143,2025-07-08,LA,RoadRunner,Home,351,1007.49,2021,3,6,True
SH803144,2025-08-05,LA,FastShip,Apparel,323,351.04,2699,5,8,True
SH803145,2025-12-11,New Jersey,RoadRunner,Electronics,345,769.56,2654,3,4,True
SH803146,2025-04-02,New Jersey,BlueFreight,Office,387,1061.97,2349,2,1,False
SH803147,2025-12-16,Chicago,BlueFreight,Home,352,874.24,349,2,2,False
SH803148,2025-11-22,Dallas,BlueFreight,Home,434,111.01,235,5,6,True
SH803149,2025-03-21,Chicago,BlueFreight,Electronics,283,1113.86,1992,3,5,True
SH803150,2025-09-01,Dallas,NorthStar,Office,126,1363.38,2882,2,5,True
SH803151,2025-05-26,LA,FastShip,Office,59,985.1,2485,2,4,True
SH803152,2025-10-21,LA,RoadRunner,Electronics,322,902.77,1173,5,9,True
SH803153,2025-08-24,Chicago,RoadRunner,Home,96,1005.27,1995,3,6,True
SH803154,2025-05-12,Chicago,BlueFreight,Office,243,1383.48,674,10,13,True
SH803155,2025-07-25,New Jersey,NorthStar,Health,449,1229.29,2859,3,4,True
SH803156,2025-02-08,New Jersey,NorthStar,Home,72,1476.46,1809,3,3,False
SH803157,2025-04-02,LA,NorthStar,Apparel,119,1243.19,867,7,7,False
SH803158,2025-02-28,Dallas,BlueFreight,Office,346,1250.33,2994,10,9,False
SH803159,2025-07-22,Atlanta,FastShip,Health,161,1202.8,1799,10,10,False
SH803160,2025-08-27,Chicago,NorthStar,Health,24,781.36,1493,3,7,True
SH803161,2025-06-02,Chicago,RoadRunner,Apparel,266,132.5,1619,10,9,False
SH803162,2025-09-01,LA,FastShip,Apparel,418,916.2,399,3,6,True
SH803163,2025-01-23,LA,RoadRunner,Home,267,716.1,1301,2,1,False
SH803164,2025-04-03,New Jersey,FastShip,Apparel,70,1442.23,1312,10,10,False
SH803165,2025-04-09,New Jersey,FastShip,Home,408,638.11,2655,7,9,True
SH803166,2025-09-01,Atlanta,RoadRunner,Home,432,696.76,1084,5,4,False
SH803167,2025-12-08,Atlanta,FastShip,Home,237,100.12,1796,3,7,True
SH803168,2025-01-27,LA,RoadRunner,Apparel,66,84.67,2164,3,7,True
SH803169,2025-07-02,Atlanta,RoadRunner,Health,435,6.87,2053,5,9,True
SH803170,2025-05-10,New Jersey,FastShip,Office,478,226.34,2364,7,6,False
SH803171,2025-02-23,Atlanta,FastShip,Apparel,73,558.65,301,5,6,True
SH803172,2025-05-18,Chicago,NorthStar,Apparel,158,1097.7,945,7,8,True
SH803173,2025-06-01,Atlanta,NorthStar,Home,281,1415.02,1287,3,4,True
SH803174,2025-07-01,Chicago,BlueFreight,Electronics,343,374.3,1130,5,9,True
SH803175,2025-09-20,Atlanta,NorthStar,Apparel,493,254.83,2797,5,7,True
SH803176,2025-05-26,Atlanta,RoadRunner,Apparel,447,1036.41,2533,3,5,True
SH803177,2025-10-05,Dallas,NorthStar,Health,48,1371.85,652,2,4,True
SH803178,2025-10-11,LA,BlueFreight,Health,402,818.99,939,2,2,False
SH803179,2025-01-17,Dallas,FastShip,Electronics,303,845.56,2435,10,9,False
SH803180,2025-02-01,Dallas,RoadRunner,Home,252,117.22,2034,2,2,False
SH803181,2025-12-26,New Jersey,RoadRunner,Health,199,912.55,1133,5,8,True
SH803182,2025-11-29,Atlanta,FastShip,Home,287,952.16,514,7,10,True
SH803183,2025-11-11,Dallas,RoadRunner,Apparel,252,291.71,1308,5,4,False
SH803184,2025-04-10,Dallas,BlueFreight,Home,271,1188.18,1826,7,7,False
SH803185,2025-07-28,LA,FastShip,Office,295,187.2,645,10,10,False
SH803186,2025-08-05,Chicago,BlueFreight,Home,140,337.07,260,10,11,True
SH803187,2025-08-05,LA,FastShip,Office,192,61.83,1643,10,13,True
SH803188,2025-10-13,Chicago,FastShip,Home,39,935.94,119,2,6,True
SH803189,2025-12-07,LA,NorthStar,Apparel,359,788.73,2520,2,4,True
SH803190,2025-03-16,LA,NorthStar,Health,465,1169.01,676,7,10,True
SH803191,2025-07-18,LA,RoadRunner,Apparel,186,425.88,1478,10,12,True
SH803192,2025-10-30,Atlanta,RoadRunner,Home,152,774.05,1980,10,10,False
SH803193,2025-08-22,Atlanta,BlueFreight,Electronics,232,807.81,1744,3,7,True
SH803194,2025-03-11,New Jersey,FastShip,Health,383,335.98,60,5,5,False
SH803195,2025-07-05,Chicago,BlueFreight,Health,332,802.16,2568,5,8,True
SH803196,2025-10-30,Dallas,NorthStar,Home,145,1184.16,2016,7,11,True
SH803197,2025-03-03,Atlanta,RoadRunner,Home,206,1152.6,1973,5,7,True
SH803198,2025-12-16,Atlanta,RoadRunner,Office,110,387.1,356,10,13,True
SH803199,2025-12-02,LA,RoadRunner,Office,298,655.65,1297,7,11,True
SH803200,2025-09-14,Chicago,FastShip,Home,371,185.34,1193,10,10,False
SH803201,2025-02-10,Chicago,NorthStar,Electronics,21,990.92,903,3,7,True
SH803202,2025-04-23,New Jersey,FastShip,Office,15,1442.43,734,7,10,True
SH803203,2025-11-19,Atlanta,NorthStar,Home,496,756.06,1488,7,9,True
SH803204,2025-02-07,Dallas,NorthStar,Office,267,10.73,1779,7,7,False
SH803205,2025-01-02,LA,RoadRunner,Health,184,917.34,330,5,8,True
SH803206,2025-12-06,LA,NorthStar,Health,371,990.29,2784,2,1,False
SH803207,2025-08-09,New Jersey,BlueFreight,Health,137,967.99,1890,10,11,True
SH803208,2025-03-13,Dallas,RoadRunner,Office,98,534.9,2740,2,4,True
SH803209,2025-06-21,Dallas,BlueFreight,Home,372,15.03,1938,7,10,True
SH803210,2025-02-04,Atlanta,FastShip,Office,289,887.96,2670,5,4,False
SH803211,2025-06-23,LA,RoadRunner,Office,477,154.39,2449,3,4,True
SH803212,2025-12-22,New Jersey,FastShip,Health,228,1252.04,2512,5,7,True
SH803213,2025-09-29,LA,FastShip,Electronics,479,1289.54,353,7,11,True
SH803214,2025-05-05,LA,RoadRunner,Office,70,1451.09,1270,5,4,False
SH803215,2025-05-22,Dallas,NorthStar,Electronics,360,1072.66,358,7,6,False
SH803216,2025-07-09,New Jersey,RoadRunner,Office,5,1430.21,1307,3,4,True
SH803217,2025-06-30,Dallas,BlueFreight,Apparel,327,1441.75,72,2,1,False
SH803218,2025-11-11,New Jersey,RoadRunner,Electronics,231,1455.94,784,3,2,False
SH803219,2025-06-09,LA,BlueFreight,Office,409,1367.2,2536,10,11,True
SH803220,2025-10-21,New Jersey,BlueFreight,Home,229,554.35,732,5,6,True
SH803221,2025-08-09,Atlanta,RoadRunner,Electronics,48,47.09,1572,10,12,True
SH803222,2025-08-15,New Jersey,BlueFreight,Electronics,119,1292.61,2601,10,12,True
SH803223,2025-09-23,Chicago,FastShip,Home,297,675.61,1826,5,6,True
SH803224,2025-04-10,Dallas,BlueFreight,Health,261,751.28,1224,2,5,True
SH803225,2025-08-12,New Jersey,NorthStar,Office,250,1005.37,850,5,8,True
SH803226,2025-03-29,LA,RoadRunner,Electronics,247,493.68,35,5,4,False
SH803227,2025-01-05,Atlanta,NorthStar,Electronics,131,571.24,1792,2,3,True
SH803228,2025-01-31,Atlanta,BlueFreight,Apparel,436,303.45,1847,7,8,True
SH803229,2025-04-22,Atlanta,BlueFreight,Health,418,542.58,2381,7,9,True
SH803230,2025-07-04,Chicago,NorthStar,Health,304,1057.8,1301,3,7,True
SH803231,2025-05-29,Atlanta,FastShip,Electronics,327,23.04,2202,10,13,True
SH803232,2025-05-29,Dallas,NorthStar,Electronics,124,1335.21,2506,3,3,False
SH803233,2025-05-13,Atlanta,RoadRunner,Office,437,891.02,587,10,14,True
SH803234,2025-02-05,Chicago,FastShip,Home,173,671.12,2902,2,5,True
SH803235,2025-02-09,Dallas,NorthStar,Apparel,408,223.83,1129,10,12,True
SH803236,2025-07-20,LA,FastShip,Home,62,374.03,980,2,1,False
SH803237,2025-01-23,LA,BlueFreight,Apparel,378,839.9,2935,10,9,False
SH803238,2025-05-09,Atlanta,NorthStar,Office,80,34.59,2772,10,14,True
SH803239,2025-03-30,LA,RoadRunner,Apparel,72,537.49,1264,2,5,True
SH803240,2025-11-03,Chicago,RoadRunner,Electronics,51,283.86,754,5,4,False
SH803241,2025-08-01,LA,BlueFreight,Office,307,501.97,1448,5,6,True
SH803242,2025-02-08,Chicago,RoadRunner,Apparel,429,912.23,690,3,5,True
SH803243,2025-02-25,Chicago,NorthStar,Apparel,45,1159.34,1864,7,8,True
SH803244,2025-06-16,New Jersey,RoadRunner,Apparel,128,634.44,861,5,4,False
SH803245,2025-04-07,Dallas,NorthStar,Home,307,610.69,1270,2,1,False
SH803246,2025-09-20,New Jersey,BlueFreight,Office,353,1065.38,2570,7,7,False
SH803247,2025-11-30,New Jersey,NorthStar,Health,151,946.01,781,10,14,True
SH803248,2025-08-29,Chicago,FastShip,Electronics,186,700.8,920,2,2,False
SH803249,2025-09-18,Chicago,RoadRunner,Office,306,559.21,1152,10,9,False
SH803250,2025-04-03,Dallas,FastShip,Office,109,1405.57,461,2,4,True
SH803251,2025-02-06,Chicago,BlueFreight,Health,179,443.94,457,7,11,True
SH803252,2025-03-28,LA,NorthStar,Home,156,1170.6,664,7,10,True
SH803253,2025-04-26,Atlanta,BlueFreight,Home,236,552.22,1856,10,9,False
SH803254,2025-04-10,New Jersey,BlueFreight,Home,398,137.18,1220,5,8,True
SH803255,2025-12-19,LA,FastShip,Apparel,150,1268.42,1170,10,10,False
SH803256,2025-12-06,Atlanta,RoadRunner,Home,450,1496.32,2636,5,8,True
SH803257,2025-04-11,New Jersey,BlueFreight,Electronics,99,896.48,2041,10,13,True
SH803258,2025-02-19,Dallas,RoadRunner,Home,89,1205.51,2633,2,4,True
SH803259,2025-02-20,Chicago,NorthStar,Home,312,1077.48,2652,10,9,False
SH803260,2025-06-29,New Jersey,FastShip,Home,302,151.98,2019,7,11,True
SH803261,2025-05-18,LA,RoadRunner,Office,366,309.33,1301,3,7,True
SH803262,2025-08-14,New Jersey,FastShip,Home,188,1482.77,2484,2,6,True
SH803263,2025-02-28,LA,BlueFreight,Electronics,252,776.02,571,10,9,False
SH803264,2025-01-04,New Jersey,FastShip,Electronics,413,1331.5,810,10,13,True
SH803265,2025-08-23,Chicago,BlueFreight,Electronics,9,1222.73,877,2,3,True
SH803266,2025-10-28,Atlanta,BlueFreight,Electronics,369,1442.33,1525,7,8,True
SH803267,2025-04-18,New Jersey,FastShip,Home,66,125.3,987,3,5,True
SH803268,2025-09-27,Atlanta,FastShip,Home,146,945.71,187,7,7,False
SH803269,2025-01-27,Chicago,FastShip,Electronics,296,799.58,259,5,6,True
SH803270,2025-09-26,New Jersey,BlueFreight,Home,357,478.95,1034,5,8,True
SH803271,2025-12-27,New Jersey,FastShip,Apparel,204,1296.95,2603,7,9,True
SH803272,2025-11-01,Atlanta,RoadRunner,Apparel,134,360.17,2133,10,13,True
SH803273,2025-01-15,LA,NorthStar,Office,298,117.98,1923,7,7,False
SH803274,2025-07-14,Chicago,FastShip,Home,112,362.3,2667,10,9,False
SH803275,2025-02-21,Dallas,NorthStar,Electronics,139,533.43,682,7,7,False
SH803276,2025-04-19,Dallas,FastShip,Home,217,242.03,1100,7,10,True
SH803277,2025-01-11,Chicago,BlueFreight,Apparel,69,206.83,145,10,10,False
SH803278,2025-03-03,LA,BlueFreight,Electronics,109,381.49,2969,5,4,False
SH803279,2025-01-13,Dallas,FastShip,Office,145,1058.14,263,7,10,True
SH803280,2025-08-16,New Jersey,RoadRunner,Home,285,651.14,757,10,12,True
SH803281,2025-08-13,LA,NorthStar,Health,320,1491.95,2672,2,5,True
SH803282,2025-07-26,LA,RoadRunner,Health,328,469.63,219,7,9,True
SH803283,2025-05-07,Chicago,BlueFreight,Home,131,40.7,2739,7,9,True
SH803284,2025-11-06,New Jersey,BlueFreight,Home,313,1475.59,194,7,6,False
SH803285,2025-06-23,Atlanta,NorthStar,Apparel,396,1118.94,2161,2,4,True
SH803286,2025-06-20,New Jersey,FastShip,Home,72,987.66,561,10,12,True
SH803287,2025-09-11,Atlanta,NorthStar,Electronics,193,105.13,948,5,5,False
SH803288,2025-11-23,Atlanta,RoadRunner,Office,410,320.54,875,2,4,True
SH803289,2025-08-20,Dallas,BlueFreight,Electronics,21,599.57,1431,7,6,False
SH803290,2025-11-25,Chicago,BlueFreight,Health,423,638.21,1572,10,11,True
SH803291,2025-11-16,Atlanta,NorthStar,Home,240,1238.43,2532,10,11,True
SH803292,2025-12-15,Chicago,RoadRunner,Health,281,940.93,1870,10,9,False
SH803293,2025-01-27,Dallas,FastShip,Office,138,1244.81,221,2,5,True
SH803294,2025-04-18,Chicago,BlueFreight,Office,349,1223.36,380,3,4,True
SH803295,2025-11-06,Dallas,BlueFreight,Apparel,437,1100.57,187,2,4,True
SH803296,2025-01-08,Atlanta,BlueFreight,Office,253,442.71,1385,3,2,False
SH803297,2025-08-13,Dallas,RoadRunner,Health,143,555.04,31,3,2,False
SH803298,2025-08-25,Atlanta,NorthStar,Health,288,332.99,2638,3,2,False
SH803299,2025-07-30,Chicago,BlueFreight,Health,182,496.1,295,5,7,True
SH803300,2025-02-17,Atlanta,NorthStar,Health,201,1337.94,115,3,2,False
SH803301,2025-02-22,Dallas,BlueFreight,Office,375,177.31,260,5,8,True
SH803302,2025-03-12,New Jersey,NorthStar,Health,208,387.33,2389,7,10,True
SH803303,2025-05-09,Atlanta,BlueFreight,Home,460,958.47,1432,3,7,True
SH803304,2025-10-02,LA,RoadRunner,Home,331,992.71,2392,5,4,False
SH803305,2025-08-05,New Jersey,FastShip,Office,468,1413.46,2184,2,4,True
SH803306,2025-12-07,Chicago,NorthStar,Office,347,183.06,1542,5,8,True
SH803307,2025-08-05,LA,RoadRunner,Health,269,168.12,984,3,4,True
SH803308,2025-04-20,LA,FastShip,Health,217,1266.7,447,2,2,False
SH803309,2025-09-04,Atlanta,BlueFreight,Health,26,1010.92,1468,2,6,True
SH803310,2025-03-23,New Jersey,NorthStar,Office,276,1269.62,2624,3,7,True
SH803311,2025-02-15,Chicago,NorthStar,Electronics,387,52.86,430,3,5,True
SH803312,2025-06-30,Dallas,BlueFreight,Apparel,472,864.56,2310,2,2,False
SH803313,2025-01-15,Dallas,NorthStar,Home,17,1467.9,737,3,6,True
SH803314,2025-10-19,LA,RoadRunner,Apparel,459,719.3,1632,2,3,True
SH803315,2025-05-28,New Jersey,RoadRunner,Electronics,355,640.17,2156,2,2,False
SH803316,2025-05-12,Chicago,NorthStar,Home,336,897.34,2471,5,9,True
SH803317,2025-12-23,New Jersey,NorthStar,Electronics,212,148.52,467,2,1,False
SH803318,2025-01-21,New Jersey,FastShip,Office,449,351.78,205,5,4,False
SH803319,2025-05-10,Chicago,FastShip,Health,365,132.57,2962,5,7,True
SH803320,2025-07-19,Atlanta,BlueFreight,Apparel,104,1363.53,2423,2,4,True
SH803321,2025-07-05,Chicago,RoadRunner,Home,61,1046.81,2626,5,4,False
SH803322,2025-09-24,Dallas,FastShip,Electronics,129,670.05,2977,5,8,True
SH803323,2025-05-14,Chicago,FastShip,Health,358,1261.42,2250,10,12,True
SH803324,2025-02-07,Chicago,FastShip,Health,248,58.27,526,2,6,True
SH803325,2025-12-15,LA,BlueFreight,Home,122,327.35,1975,5,7,True
SH803326,2025-08-11,Atlanta,BlueFreight,Office,281,1025.55,2073,5,6,True
SH803327,2025-09-15,Chicago,FastShip,Electronics,114,248.94,1914,2,2,False
SH803328,2025-07-10,LA,RoadRunner,Home,468,1172.82,2437,2,5,True
SH803329,2025-02-13,Chicago,NorthStar,Office,155,920.28,647,3,4,True
SH803330,2025-02-20,LA,NorthStar,Home,452,82.78,186,2,5,True
SH803331,2025-03-31,Chicago,NorthStar,Home,328,1428.31,2364,2,5,True
SH803332,2025-03-18,Chicago,RoadRunner,Office,84,480.97,1614,2,5,True
SH803333,2025-12-20,Atlanta,FastShip,Office,382,1177.36,1356,7,6,False
SH803334,2025-05-26,Dallas,NorthStar,Health,371,37.64,1655,2,6,True
SH803335,2025-06-10,Dallas,FastShip,Office,51,253.23,2347,5,5,False
SH803336,2025-05-02,Atlanta,NorthStar,Health,276,177.7,825,5,6,True
SH803337,2025-07-06,Chicago,BlueFreight,Apparel,252,599.54,205,2,2,False
SH803338,2025-02-03,Atlanta,BlueFreight,Office,133,1291.63,2302,5,9,True
SH803339,2025-04-21,New Jersey,NorthStar,Apparel,179,1255.25,2361,3,7,True
SH803340,2025-12-29,New Jersey,FastShip,Health,341,1379.75,1680,7,10,True
SH803341,2025-01-05,Atlanta,NorthStar,Office,320,395.58,1458,10,13,True
SH803342,2025-02-16,Chicago,FastShip,Apparel,79,1057.42,2846,2,2,False
SH803343,2025-06-07,Atlanta,FastShip,Office,174,31.28,36,3,2,False
SH803344,2025-08-28,Chicago,RoadRunner,Home,55,1257.81,2540,5,5,False
SH803345,2025-01-28,Chicago,NorthStar,Electronics,95,313.11,235,7,11,True
SH803346,2025-11-25,LA,FastShip,Health,462,513.53,1530,5,5,False
SH803347,2025-11-23,Atlanta,BlueFreight,Office,59,613.1,418,10,10,False
SH803348,2025-02-10,Atlanta,BlueFreight,Home,380,1012.74,1129,5,8,True
SH803349,2025-07-27,New Jersey,BlueFreight,Electronics,46,779.48,757,7,10,True
SH803350,2025-01-16,New Jersey,NorthStar,Home,446,252.25,711,3,5,True
SH803351,2025-10-28,New Jersey,NorthStar,Health,111,1459.15,2731,5,6,True
SH803352,2025-09-08,Atlanta,NorthStar,Office,141,455.57,1482,10,13,True
SH803353,2025-10-17,LA,NorthStar,Home,364,1310.84,678,7,9,True
SH803354,2025-12-04,Dallas,BlueFreight,Office,431,880.18,992,7,8,True
SH803355,2025-04-26,LA,RoadRunner,Health,85,1321.26,414,5,9,True
SH803356,2025-05-25,Chicago,RoadRunner,Apparel,80,1233.94,1062,5,6,True
SH803357,2025-05-05,LA,RoadRunner,Home,407,1376.23,2961,10,14,True
SH803358,2025-06-13,Dallas,FastShip,Health,62,1057.24,966,7,8,True
SH803359,2025-10-02,LA,NorthStar,Office,178,196.19,1017,5,6,True
SH803360,2025-05-09,LA,BlueFreight,Electronics,420,1038.28,2498,3,6,True
SH803361,2025-08-09,Atlanta,RoadRunner,Electronics,305,989.97,2989,7,9,True
SH803362,2025-10-24,New Jersey,BlueFreight,Electronics,260,851.29,2903,3,2,False
SH803363,2025-12-09,LA,RoadRunner,Office,306,856.14,2938,7,8,True
SH803364,2025-01-18,Chicago,RoadRunner,Apparel,94,1310.09,786,5,8,True
SH803365,2025-04-04,Chicago,NorthStar,Office,71,827.57,31,2,4,True
SH803366,2025-11-06,Chicago,FastShip,Home,393,478.92,1072,3,7,True
SH803367,2025-02-23,Atlanta,BlueFreight,Apparel,4,161.36,1613,5,4,False
SH803368,2025-01-07,LA,FastShip,Home,398,614.42,847,7,10,True
SH803369,2025-09-09,LA,BlueFreight,Office,459,732.89,2845,5,8,True
SH803370,2025-03-18,Atlanta,BlueFreight,Health,155,1266.63,219,10,13,True
SH803371,2025-09-05,New Jersey,RoadRunner,Health,241,523.44,393,5,8,True
SH803372,2025-07-29,Chicago,NorthStar,Health,209,673.02,2270,5,6,True
SH803373,2025-01-29,LA,BlueFreight,Home,60,1409.02,220,7,10,True
SH803374,2025-10-17,Atlanta,BlueFreight,Health,254,1226.35,2481,10,13,True
SH803375,2025-03-24,LA,BlueFreight,Office,328,1365.78,525,3,5,True
SH803376,2025-07-13,Atlanta,RoadRunner,Apparel,135,439.29,1658,2,1,False
SH803377,2025-04-05,Chicago,NorthStar,Health,316,381.02,616,2,1,False
SH803378,2025-06-08,Chicago,NorthStar,Health,159,604.59,517,3,3,False
SH803379,2025-03-05,Chicago,BlueFreight,Electronics,179,1493.94,1503,5,9,True
SH803380,2025-11-24,Chicago,NorthStar,Electronics,93,1175.35,1501,3,5,True
SH803381,2025-12-23,Atlanta,FastShip,Home,86,946.23,2728,3,7,True
SH803382,2025-02-07,Chicago,FastShip,Home,484,256.64,1736,10,10,False
SH803383,2025-06-11,New Jersey,FastShip,Home,366,318.33,2235,10,9,False
SH803384,2025-09-05,Atlanta,RoadRunner,Electronics,400,756.25,2838,10,11,True
SH803385,2025-03-08,New Jersey,RoadRunner,Home,156,900.85,153,10,11,True
SH803386,2025-08-14,Atlanta,BlueFreight,Health,260,576.73,750,5,4,False
SH803387,2025-03-03,New Jersey,RoadRunner,Office,159,1413.34,2608,5,7,True
SH803388,2025-12-28,Atlanta,FastShip,Health,126,141.01,2108,2,2,False
SH803389,2025-10-17,Dallas,NorthStar,Home,196,1426.59,1094,2,3,True
SH803390,2025-02-27,Chicago,RoadRunner,Apparel,129,504.59,1798,3,6,True
SH803391,2025-12-26,Atlanta,FastShip,Health,319,66.63,2843,10,10,False
SH803392,2025-04-11,Atlanta,FastShip,Electronics,411,948.34,1273,3,2,False
SH803393,2025-11-21,LA,RoadRunner,Office,464,1465.19,618,5,5,False
SH803394,2025-09-09,Dallas,RoadRunner,Apparel,480,201.68,2635,2,4,True
