LoanID,CustomerAge,AnnualIncome,LoanAmount,CreditScore,EmploymentYears,DebtToIncome,LoanPurpose,Defaulted
402689,59,62340,35445,683,4,0.62,Business,0
402690,57,95472,36255,677,8,0.28,Home Improvement,0
402691,51,172660,58879,611,15,0.47,Home Improvement,0
402692,61,73511,53000,662,21,0.45,Home Improvement,0
402693,52,40994,47211,759,12,0.6,Business,0
402694,68,111661,14619,612,1,0.15,Home Improvement,0
402695,53,133914,34163,558,12,0.11,Home Improvement,0
402696,70,32306,13215,680,20,0.44,Education,0
402697,58,77229,2523,600,21,0.51,Business,0
402698,36,126381,40848,753,24,0.28,Education,1
402699,54,149418,54498,546,2,0.31,Debt Consolidation,0
402700,34,66299,30869,544,23,0.62,Education,0
402701,56,129037,34005,823,17,0.46,Auto,0
402702,35,93580,17057,564,26,0.1,Education,0
402703,37,137211,34815,551,25,0.39,Auto,0
402704,29,70613,37355,625,30,0.13,Debt Consolidation,0
402705,34,100194,6171,704,15,0.46,Debt Consolidation,0
402706,65,165863,8302,630,9,0.48,Debt Consolidation,0
402707,44,93332,51261,586,0,0.5,Home Improvement,1
402708,31,126506,39040,600,8,0.6,Home Improvement,0
402709,49,102613,3735,672,13,0.16,Business,0
402710,45,41769,10714,831,28,0.41,Debt Consolidation,0
402711,24,80623,32982,544,1,0.56,Business,1
402712,52,45424,58571,683,2,0.26,Medical,0
402713,52,41781,36645,726,26,0.56,Education,1
402714,23,44626,25827,831,5,0.34,Medical,0
402715,26,44171,42594,634,28,0.5,Home Improvement,1
402716,39,69291,18385,689,12,0.14,Home Improvement,1
402717,37,52961,57792,606,15,0.61,Education,0
402718,68,147647,2492,608,0,0.6,Business,0
402719,25,99778,24554,794,23,0.36,Debt Consolidation,0
402720,30,92850,54855,692,27,0.52,Auto,0
402721,47,111657,3432,840,10,0.56,Medical,0
402722,56,43331,36093,727,22,0.53,Home Improvement,0
402723,52,90945,25560,783,29,0.61,Medical,0
402724,41,96567,19401,675,14,0.36,Business,0
402725,68,80965,16425,543,22,0.63,Business,1
402726,52,103000,40110,715,13,0.5,Debt Consolidation,0
402727,63,159676,26552,583,16,0.14,Medical,0
402728,54,150933,12416,790,14,0.26,Medical,0
402729,69,125596,8896,637,9,0.11,Education,0
402730,35,85136,32519,757,31,0.57,Education,0
402731,29,64410,33690,729,22,0.57,Home Improvement,0
402732,22,96907,55771,745,11,0.14,Medical,0
402733,59,80444,6028,700,8,0.49,Business,1
402734,65,176208,46586,562,26,0.49,Business,1
402735,26,43941,52073,695,20,0.62,Home Improvement,0
402736,47,81499,26584,783,24,0.57,Debt Consolidation,0
402737,41,64147,58081,595,9,0.45,Auto,0
402738,54,109589,15265,607,13,0.5,Education,1
402739,60,89038,23738,712,12,0.12,Auto,0
402740,42,103020,29760,791,20,0.33,Auto,1
402741,28,159249,52939,663,2,0.43,Education,0
402742,40,84285,51259,711,14,0.12,Business,0
402743,58,149598,30917,813,5,0.41,Auto,0
402744,29,92051,41181,832,3,0.33,Debt Consolidation,0
402745,39,120386,39786,726,14,0.25,Medical,0
402746,52,127259,51237,568,7,0.56,Education,0
402747,31,90350,46858,554,15,0.28,Auto,0
402748,74,85224,58227,774,32,0.55,Home Improvement,0
402749,48,167709,24544,739,10,0.11,Auto,0
402750,69,151696,6875,819,15,0.3,Education,0
402751,56,39470,21269,717,18,0.46,Auto,0
402752,41,138300,21839,681,18,0.1,Auto,0
402753,22,149956,16345,649,2,0.15,Debt Consolidation,0
402754,27,121165,15036,782,12,0.27,Debt Consolidation,0
402755,72,130612,54309,542,6,0.06,Education,0
402756,45,87248,3663,744,4,0.11,Business,0
402757,62,88797,22223,544,6,0.41,Business,0
402758,56,162509,55698,646,14,0.1,Debt Consolidation,0
402759,41,64591,59607,748,27,0.07,Home Improvement,1
402760,58,84223,3637,642,14,0.43,Debt Consolidation,0
402761,61,164447,57028,843,0,0.34,Education,0
402762,33,41037,13427,619,18,0.18,Debt Consolidation,1
402763,46,57294,32660,537,30,0.44,Business,0
402764,43,84126,22769,704,32,0.43,Auto,0
402765,33,34698,51984,573,12,0.41,Medical,0
402766,56,124371,41172,791,12,0.07,Home Improvement,0
402767,49,62889,22556,658,8,0.32,Debt Consolidation,0
402768,29,155224,39529,724,7,0.2,Education,0
402769,40,138363,38397,773,28,0.2,Medical,0
402770,41,158921,19961,777,5,0.36,Medical,0
402771,61,145546,14449,820,20,0.31,Home Improvement,0
402772,28,47471,42682,699,9,0.54,Auto,1
402773,46,112362,45614,607,21,0.61,Business,1
402774,58,37714,43765,687,7,0.1,Medical,0
402775,47,131538,13925,589,5,0.49,Medical,0
402776,74,102619,6507,559,27,0.43,Business,0
402777,43,30370,49670,675,20,0.36,Home Improvement,0
402778,51,69662,10777,604,25,0.41,Home Improvement,1
402779,34,52905,25662,687,19,0.52,Business,1
402780,37,87034,57947,754,31,0.13,Debt Consolidation,0
402781,72,50873,22177,725,31,0.25,Debt Consolidation,0
402782,28,109660,47540,627,2,0.12,Medical,0
402783,30,61946,12044,796,32,0.41,Auto,0
402784,35,119959,53300,604,16,0.27,Education,0
402785,51,84391,6186,738,11,0.56,Medical,0
402786,43,142546,13637,749,15,0.16,Medical,0
402787,54,175451,38651,608,15,0.62,Auto,0
402788,43,166225,27963,718,10,0.59,Home Improvement,0
402789,41,105714,2464,774,7,0.57,Home Improvement,1
402790,30,128083,2705,658,17,0.12,Education,0
402791,42,79106,24208,786,10,0.48,Auto,0
402792,62,161140,59385,609,23,0.24,Home Improvement,0
402793,49,85725,51708,544,27,0.22,Business,1
402794,69,131030,55713,801,30,0.56,Home Improvement,1
402795,37,101291,7719,641,32,0.59,Medical,0
402796,48,168055,6832,625,33,0.31,Home Improvement,0
402797,60,148695,24506,655,31,0.16,Auto,0
402798,43,93025,20103,725,19,0.23,Education,0
402799,64,37613,7049,607,27,0.37,Education,0
402800,21,153208,41459,762,31,0.63,Medical,1
402801,62,117764,24622,708,20,0.56,Debt Consolidation,0
402802,22,43468,34851,695,31,0.49,Auto,0
402803,37,63133,5429,697,14,0.15,Education,0
402804,54,99882,58219,556,25,0.49,Medical,0
402805,33,54770,26010,740,6,0.5,Auto,1
402806,27,101348,25130,588,23,0.26,Home Improvement,0
402807,46,133859,22295,627,34,0.46,Home Improvement,0
402808,48,88415,43804,733,27,0.32,Debt Consolidation,0
402809,27,62109,54308,668,33,0.47,Education,1
402810,29,45499,31058,593,30,0.34,Business,0
402811,67,157401,37125,845,31,0.59,Business,0
402812,45,93880,23156,825,29,0.55,Business,0
402813,61,32776,2563,655,19,0.42,Home Improvement,0
402814,59,30814,32000,821,17,0.5,Business,0
402815,64,157258,28794,614,17,0.52,Auto,0
402816,28,72755,7190,840,22,0.4,Medical,0
402817,27,75849,50974,609,24,0.42,Home Improvement,0
402818,26,98094,48468,826,18,0.41,Debt Consolidation,0
402819,30,102232,34821,673,26,0.08,Medical,0
402820,47,153759,42737,595,12,0.53,Education,1
402821,40,54214,33136,717,26,0.62,Auto,1
402822,23,175337,39698,537,20,0.41,Medical,0
402823,73,89906,23805,603,24,0.56,Business,0
402824,50,86106,6228,686,22,0.05,Business,0
402825,50,38063,53026,805,21,0.37,Home Improvement,0
402826,52,25638,7353,826,21,0.24,Auto,0
402827,51,37292,37713,812,6,0.06,Education,1
402828,41,90581,4757,563,15,0.37,Auto,1
402829,40,71510,10446,628,7,0.26,Medical,0
402830,32,66864,17225,799,14,0.51,Education,0
402831,55,73454,59446,600,21,0.63,Home Improvement,1
402832,72,150373,40349,557,20,0.32,Business,1
402833,38,69198,48979,762,30,0.61,Auto,1
402834,43,30161,2275,663,34,0.09,Education,1
402835,48,98405,6608,834,24,0.57,Business,0
402836,34,116555,6454,780,26,0.15,Business,0
402837,68,76746,19331,840,9,0.3,Education,0
402838,28,141129,53316,800,29,0.35,Debt Consolidation,0
402839,36,170472,25965,616,21,0.64,Auto,1
402840,69,116288,20739,782,27,0.6,Education,0
402841,21,112654,3034,588,24,0.28,Business,1
402842,25,107419,7999,812,31,0.37,Education,0
402843,25,127146,58740,567,29,0.55,Business,1
402844,43,155372,21387,611,29,0.44,Auto,0
402845,38,71980,51748,756,33,0.53,Medical,0
402846,55,54201,54888,598,8,0.49,Debt Consolidation,0
402847,24,87117,31475,770,1,0.17,Business,0
402848,73,136803,42323,614,16,0.65,Home Improvement,1
402849,49,122273,24422,682,17,0.39,Education,0
402850,36,36983,27221,635,5,0.39,Home Improvement,0
402851,40,141575,15595,532,10,0.41,Medical,0
402852,43,111540,38159,538,15,0.08,Home Improvement,0
402853,25,176113,26791,597,19,0.63,Debt Consolidation,1
402854,68,139242,57865,641,20,0.45,Business,0
402855,57,89413,25655,769,25,0.17,Debt Consolidation,0
402856,70,56714,6464,635,7,0.51,Home Improvement,0
402857,49,88172,9712,732,8,0.09,Education,0
402858,21,90586,41897,662,11,0.2,Auto,0
402859,21,30290,49513,581,4,0.22,Medical,0
402860,51,100378,56936,740,28,0.07,Auto,0
402861,63,178502,28013,688,3,0.6,Education,0
402862,28,168307,44597,846,11,0.38,Auto,0
402863,53,163441,26995,816,18,0.24,Auto,0
402864,61,54204,44131,579,17,0.33,Auto,0
402865,70,25801,50820,747,34,0.38,Auto,0
402866,52,116636,55091,810,13,0.57,Education,0
402867,60,81400,18068,624,33,0.58,Education,0
402868,38,150944,35311,611,2,0.07,Education,1
402869,28,111529,15289,526,22,0.34,Debt Consolidation,0
402870,45,62372,19373,696,12,0.55,Education,0
402871,60,129217,44281,623,32,0.35,Auto,0
402872,33,86771,34858,633,8,0.51,Auto,0
402873,68,174342,44967,789,18,0.05,Auto,0
402874,68,95581,7363,749,18,0.44,Education,0
402875,42,102215,31780,572,18,0.12,Business,1
402876,27,28558,15888,621,9,0.58,Auto,1
402877,52,118036,37919,646,8,0.61,Business,0
402878,50,37276,30813,782,25,0.56,Debt Consolidation,1
402879,24,39306,57869,699,25,0.42,Medical,1
402880,56,109884,5145,572,1,0.11,Home Improvement,0
402881,39,67876,42658,755,3,0.59,Home Improvement,0
402882,46,136362,59297,627,31,0.47,Home Improvement,1
402883,34,173719,51909,808,5,0.28,Business,1
402884,73,116324,7966,701,9,0.37,Medical,0
402885,35,36494,14690,765,21,0.53,Business,0
402886,28,170571,26935,790,22,0.25,Auto,0
402887,55,174443,11297,774,22,0.59,Education,1
402888,32,51631,44682,800,6,0.53,Business,0
402889,24,118772,13227,665,16,0.6,Auto,0
402890,71,49153,9100,729,15,0.14,Business,0
402891,32,128848,34272,756,31,0.23,Education,1
402892,52,171267,59266,580,29,0.51,Education,1
402893,61,38133,32652,742,27,0.13,Medical,0
402894,53,32948,14943,744,29,0.59,Education,0
402895,30,147300,3817,820,4,0.27,Medical,0
402896,45,39139,37072,632,27,0.31,Debt Consolidation,0
402897,63,61349,53612,522,33,0.61,Debt Consolidation,0
402898,63,128129,16741,580,32,0.47,Medical,0
402899,60,141036,43631,570,34,0.38,Debt Consolidation,0
402900,37,37135,26427,523,18,0.11,Debt Consolidation,0
402901,31,94018,12833,756,31,0.19,Education,0
402902,62,136559,25779,708,23,0.34,Auto,0
402903,72,27790,3286,718,30,0.39,Medical,0
402904,62,35454,22796,610,12,0.56,Debt Consolidation,1
402905,65,100081,51587,773,18,0.49,Business,0
402906,69,26293,11031,564,32,0.54,Auto,0
402907,51,26345,20416,785,24,0.12,Debt Consolidation,0
402908,35,85541,41019,776,1,0.56,Home Improvement,0
402909,34,40016,46684,575,16,0.2,Medical,0
402910,31,53830,16277,848,31,0.52,Business,0
402911,31,139922,50141,647,21,0.38,Business,0
402912,70,147931,2935,608,29,0.5,Auto,0
402913,36,83026,56848,617,8,0.55,Medical,1
402914,62,162236,18147,827,34,0.47,Home Improvement,1
402915,22,170387,21824,575,25,0.65,Debt Consolidation,0
402916,47,73925,9378,587,22,0.61,Debt Consolidation,1
402917,41,161746,39183,610,12,0.25,Home Improvement,1
402918,71,78436,20006,623,16,0.42,Business,0
402919,60,42151,28774,755,8,0.57,Debt Consolidation,1
402920,52,72648,42048,796,9,0.19,Education,0
402921,38,29740,12022,582,21,0.39,Education,1
402922,65,66016,31792,746,30,0.43,Education,1
402923,41,178519,32707,808,11,0.07,Auto,0
402924,74,129484,47131,835,18,0.51,Debt Consolidation,0
402925,34,112125,36321,775,13,0.63,Auto,0
402926,30,87951,22344,638,33,0.17,Debt Consolidation,0
402927,25,25740,2110,569,10,0.08,Medical,0
402928,21,110800,53946,802,11,0.1,Auto,0
402929,35,169543,50172,775,21,0.41,Medical,0
402930,43,139757,42963,842,34,0.2,Auto,0
402931,74,129667,17463,561,19,0.36,Education,0
402932,46,77111,5821,578,29,0.32,Education,0
402933,24,174507,13737,828,1,0.65,Education,0
402934,46,32340,33522,768,8,0.44,Home Improvement,0
402935,43,75440,8377,575,32,0.48,Business,0
402936,48,60298,21771,812,32,0.23,Medical,0
402937,67,55642,25732,716,30,0.64,Medical,0
402938,63,103234,54758,737,24,0.53,Education,0
402939,33,174163,33800,698,14,0.1,Home Improvement,0
402940,36,33431,20267,607,8,0.65,Business,0
402941,30,42343,34213,668,29,0.25,Auto,0
402942,63,150100,55347,784,5,0.16,Auto,0
402943,66,80825,51543,761,9,0.2,Education,0
402944,30,127981,34069,522,26,0.43,Medical,1
402945,21,159874,5623,738,21,0.37,Debt Consolidation,0
402946,42,145081,38417,537,31,0.56,Education,1
402947,58,87538,6171,820,3,0.12,Home Improvement,0
402948,48,97513,58604,678,9,0.39,Home Improvement,0
402949,26,168202,49946,819,18,0.58,Auto,0
402950,66,144377,45765,801,30,0.53,Auto,0
402951,48,144566,34563,559,28,0.27,Education,0
402952,44,105629,17634,668,25,0.47,Auto,0
402953,65,27702,48840,830,11,0.28,Debt Consolidation,0
402954,61,106769,2364,618,30,0.51,Education,0
402955,72,61189,49478,770,7,0.12,Auto,0
402956,49,95089,53650,581,13,0.22,Education,0
402957,26,132891,32512,640,20,0.55,Auto,0
402958,21,138019,39485,547,11,0.18,Auto,0
402959,49,30125,42276,848,32,0.15,Education,0
402960,25,67926,9833,588,11,0.28,Medical,0
402961,70,119484,42922,654,15,0.48,Business,0
402962,32,31346,40970,757,20,0.11,Medical,0
402963,74,174780,3884,669,22,0.26,Education,0
402964,28,122384,26589,832,14,0.51,Medical,1
402965,63,119084,31376,604,15,0.64,Business,0
402966,27,72493,33665,730,16,0.16,Education,0
402967,26,81426,4770,600,29,0.46,Auto,1
402968,28,83911,34291,614,19,0.39,Auto,0
402969,55,152931,43861,839,0,0.11,Auto,0
402970,46,38985,4425,553,12,0.46,Education,1
402971,21,170635,11971,842,9,0.44,Medical,0
402972,47,61066,31004,751,0,0.08,Auto,0
402973,48,82303,55138,579,13,0.58,Auto,0
402974,68,115981,28872,793,13,0.3,Business,0
402975,51,101810,24826,619,9,0.1,Education,0
402976,62,87963,18579,814,6,0.4,Education,0
402977,73,170353,22567,732,26,0.5,Home Improvement,1
402978,70,74006,32820,747,1,0.12,Auto,0
402979,72,132345,11064,627,3,0.29,Home Improvement,0
402980,68,60641,31983,760,16,0.21,Auto,0
402981,30,170595,56451,610,19,0.62,Debt Consolidation,0
402982,48,103502,30437,656,6,0.42,Debt Consolidation,0
402983,32,48907,12591,569,5,0.53,Debt Consolidation,1
402984,35,113475,28320,675,7,0.25,Medical,0
402985,22,76872,45685,629,9,0.56,Medical,0
402986,38,177984,26141,730,24,0.24,Education,0
402987,73,178238,36036,525,3,0.21,Auto,1
402988,64,26176,30492,763,15,0.18,Auto,1
402989,63,151968,19110,646,7,0.21,Medical,0
402990,43,176195,57450,559,23,0.38,Education,1
402991,30,88845,21979,773,17,0.1,Education,0
402992,26,117585,54016,760,3,0.08,Debt Consolidation,0
402993,37,101714,18338,746,22,0.23,Home Improvement,0
402994,69,35910,14989,614,22,0.19,Home Improvement,0
402995,69,158904,10715,844,4,0.5,Education,0
402996,23,135655,20020,732,11,0.09,Debt Consolidation,0
402997,21,86111,35076,700,0,0.32,Home Improvement,0
402998,30,52634,32986,669,5,0.64,Debt Consolidation,0
402999,24,89557,58523,607,23,0.23,Auto,1
403000,57,110414,51840,704,14,0.31,Education,0
403001,33,109055,45259,844,12,0.43,Medical,0
403002,48,117131,21759,534,11,0.32,Education,1
403003,51,95561,51916,686,27,0.26,Business,0
403004,37,122547,32533,685,13,0.53,Home Improvement,1
403005,73,110128,28457,781,16,0.23,Business,0
403006,55,158383,31314,538,10,0.3,Auto,1
403007,37,141352,35112,600,27,0.33,Home Improvement,0
403008,24,179315,21688,641,24,0.45,Home Improvement,1
403009,34,54961,50314,521,11,0.45,Medical,0
403010,57,105196,52435,826,19,0.62,Home Improvement,0
403011,53,113341,13926,548,27,0.6,Auto,0
403012,32,145751,30855,544,15,0.32,Education,0
403013,22,148209,22160,554,7,0.16,Education,0
403014,26,153254,4371,539,8,0.18,Business,0
403015,65,169249,52640,726,27,0.41,Auto,0
403016,54,69994,22488,631,2,0.07,Medical,0
403017,70,60050,50785,743,34,0.23,Home Improvement,0
403018,60,131232,55584,828,15,0.37,Business,0
403019,49,126613,22114,847,4,0.21,Auto,0
403020,31,75877,44087,616,4,0.1,Auto,1
403021,30,60152,42852,631,34,0.08,Debt Consolidation,0
403022,56,47595,33201,673,25,0.09,Medical,0
403023,39,142257,6574,631,8,0.22,Business,0
403024,22,165650,4395,780,29,0.15,Home Improvement,0
403025,22,90796,46757,775,26,0.22,Debt Consolidation,0
403026,33,146972,50247,713,0,0.36,Education,0
403027,51,165316,37567,583,25,0.52,Business,0
403028,60,134381,41523,665,9,0.53,Medical,0
403029,21,84124,54321,680,3,0.19,Business,0
403030,34,132664,10697,657,3,0.49,Medical,0
403031,36,177294,44740,686,3,0.54,Education,0
403032,33,142342,23194,814,8,0.12,Debt Consolidation,0
403033,73,50296,16022,724,33,0.39,Medical,0
403034,67,68063,51020,560,4,0.29,Auto,0
403035,67,134948,35210,690,30,0.24,Debt Consolidation,0
403036,45,63654,45189,640,32,0.11,Home Improvement,0
403037,58,99237,34597,595,12,0.38,Business,0
403038,27,79691,34122,710,10,0.31,Debt Consolidation,0
403039,50,41570,35044,636,34,0.17,Debt Consolidation,0
403040,37,103724,13690,649,17,0.4,Business,0
403041,63,73100,50166,586,29,0.31,Home Improvement,0
403042,44,171049,56474,824,12,0.58,Education,0
403043,58,105588,42774,818,4,0.54,Business,0
403044,37,75465,27062,602,5,0.47,Auto,0
403045,37,77387,37886,826,5,0.09,Business,0
403046,74,161229,24499,796,2,0.16,Education,0
403047,45,145031,5665,788,28,0.5,Auto,0
403048,62,49715,27670,771,20,0.49,Debt Consolidation,0
403049,29,178490,6253,669,7,0.28,Auto,0
403050,23,167738,25794,545,27,0.42,Debt Consolidation,0
403051,65,32114,50602,577,11,0.37,Auto,0
403052,66,166184,17528,555,12,0.45,Debt Consolidation,1
403053,52,56930,46609,756,30,0.48,Medical,0
403054,23,133873,42401,843,32,0.48,Debt Consolidation,1
403055,21,73781,14308,743,31,0.55,Medical,0
403056,60,118093,42383,682,26,0.14,Medical,0
403057,28,35255,47725,810,17,0.64,Debt Consolidation,1
403058,50,66477,18874,532,14,0.42,Auto,0
403059,55,148108,52825,754,3,0.29,Education,0
403060,47,122400,6839,756,10,0.44,Debt Consolidation,0
403061,33,78170,6197,842,18,0.31,Education,0
403062,26,52594,58338,684,28,0.22,Auto,0
403063,52,88534,20124,723,14,0.53,Home Improvement,1
403064,23,76558,11460,536,32,0.11,Debt Consolidation,0
403065,24,126919,59459,655,31,0.15,Medical,0
403066,48,94060,21620,838,20,0.22,Medical,0
403067,65,56336,37480,533,0,0.07,Medical,1
403068,64,80664,49684,793,13,0.45,Business,0
403069,43,131278,39393,733,16,0.39,Education,0
403070,33,62883,49853,791,25,0.57,Medical,1
403071,43,71990,31923,676,5,0.38,Education,0
403072,23,27137,36801,522,6,0.1,Home Improvement,0
403073,58,66642,13339,821,15,0.11,Business,0
403074,73,132305,3168,699,16,0.56,Debt Consolidation,0
403075,44,134756,4574,667,33,0.41,Debt Consolidation,0
403076,32,90860,16608,685,23,0.38,Medical,0
403077,29,101382,44640,810,9,0.56,Education,0
403078,21,62101,30463,667,26,0.38,Auto,0
403079,40,71512,59549,781,22,0.23,Debt Consolidation,0
403080,37,112304,23280,572,1,0.64,Debt Consolidation,1
403081,52,142632,23695,822,8,0.56,Business,0
403082,25,150498,59378,606,3,0.24,Medical,0
403083,40,94850,9758,651,30,0.47,Home Improvement,0
403084,46,128076,13984,602,31,0.08,Home Improvement,0
403085,63,63398,55899,547,20,0.35,Education,0
403086,70,112006,45696,839,20,0.47,Education,0
403087,59,59354,22916,670,11,0.28,Home Improvement,0
403088,73,36319,35706,606,14,0.49,Education,0
403089,48,174142,24916,629,14,0.24,Debt Consolidation,0
403090,27,47350,5150,843,17,0.34,Debt Consolidation,0
403091,28,78836,18057,551,19,0.36,Auto,1
403092,43,25583,5244,824,25,0.37,Medical,0
403093,27,104156,36792,529,23,0.64,Business,0
403094,63,97221,48385,771,20,0.6,Business,1
403095,44,64718,17852,814,13,0.47,Education,0
403096,68,98260,45106,552,1,0.29,Debt Consolidation,1
403097,43,43469,50161,719,20,0.46,Medical,0
403098,38,35019,42915,746,30,0.27,Auto,0
403099,44,111234,20625,669,2,0.53,Medical,0
403100,33,116397,38505,554,19,0.13,Business,0
403101,28,37274,18512,563,21,0.08,Education,0
403102,65,94998,26836,833,10,0.25,Education,0
403103,43,136489,33361,665,20,0.27,Medical,0
403104,61,157884,57961,824,16,0.62,Education,0
403105,60,159787,44249,563,7,0.61,Business,1
403106,67,161584,4988,647,33,0.35,Debt Consolidation,0
403107,39,118526,17706,812,0,0.34,Auto,0
403108,39,119318,45852,753,13,0.47,Business,0
403109,30,134535,13962,587,3,0.59,Home Improvement,1
403110,55,87000,21799,528,2,0.61,Home Improvement,0
403111,30,167172,30345,764,23,0.21,Business,0
403112,64,102028,10252,651,9,0.57,Home Improvement,0
403113,28,82229,28068,789,25,0.4,Business,0
403114,64,145475,47828,849,30,0.44,Education,0
403115,32,129386,54045,537,9,0.29,Home Improvement,0
403116,44,109509,49825,577,12,0.34,Auto,0
403117,27,84419,26746,759,7,0.35,Education,0
403118,42,54534,13878,794,27,0.48,Home Improvement,1
403119,66,140767,3756,670,27,0.24,Home Improvement,0
403120,22,91866,55115,831,13,0.28,Auto,0
403121,56,53297,47480,584,22,0.5,Medical,0
403122,40,168544,16801,614,20,0.57,Auto,0
403123,68,49355,44431,731,32,0.11,Business,0
403124,35,78534,47768,738,28,0.27,Business,0
403125,39,71331,13048,688,15,0.09,Education,0
403126,31,138759,55696,550,9,0.16,Home Improvement,1
403127,22,62820,46879,609,17,0.24,Education,0
403128,61,118664,20210,779,24,0.23,Business,1
403129,26,126252,36062,602,19,0.21,Home Improvement,0
403130,68,43404,19489,597,18,0.58,Medical,1
403131,61,173140,38899,754,3,0.28,Debt Consolidation,0
403132,71,38355,7541,766,4,0.48,Business,0
403133,41,77718,41699,693,3,0.59,Debt Consolidation,1
403134,21,92243,45851,823,5,0.19,Auto,0
403135,62,84202,51148,682,10,0.06,Education,0
403136,35,151340,52153,580,8,0.24,Business,1
403137,73,124351,59250,780,1,0.27,Education,0
403138,70,152858,4890,727,8,0.11,Business,0
403139,39,74258,20580,571,8,0.14,Education,1
403140,58,102850,13133,627,8,0.11,Education,0
403141,62,37108,4447,763,26,0.08,Education,0
403142,37,162456,14546,788,23,0.52,Medical,0
403143,52,137809,40369,540,8,0.36,Education,0
403144,38,118400,31463,680,23,0.4,Medical,0
403145,69,38075,54751,601,25,0.49,Business,1
403146,46,67966,20148,804,11,0.55,Auto,0
403147,57,97440,9331,575,0,0.43,Home Improvement,1
403148,30,110474,16528,558,0,0.46,Home Improvement,1
403149,54,159736,9931,643,24,0.34,Debt Consolidation,0
403150,38,138932,53430,813,22,0.6,Medical,0
403151,73,125308,24576,569,26,0.29,Education,0
403152,40,158552,59457,749,17,0.3,Medical,0
403153,72,161251,57713,700,7,0.39,Business,0
403154,62,164030,36170,731,21,0.22,Business,0
403155,69,96793,13945,553,17,0.1,Business,0
403156,37,128195,55476,646,25,0.54,Medical,1
403157,38,91751,12634,641,28,0.06,Home Improvement,0
403158,40,26385,49746,826,21,0.62,Medical,0
403159,23,89544,49578,639,14,0.61,Education,0
403160,53,170609,8906,650,3,0.62,Medical,1
403161,48,74657,5505,525,31,0.34,Business,0
403162,42,93155,59259,618,10,0.49,Education,0
403163,74,135105,28006,811,6,0.24,Debt Consolidation,0
403164,60,136452,45796,817,5,0.44,Medical,0
403165,73,168802,32663,702,8,0.15,Education,0
403166,37,33525,48435,765,15,0.3,Medical,0
403167,43,120585,25060,575,18,0.27,Home Improvement,0
403168,55,171684,20583,590,5,0.33,Business,1
403169,55,106449,19035,756,6,0.65,Home Improvement,0
403170,52,136964,54783,537,34,0.33,Home Improvement,1
403171,45,106075,22690,808,5,0.14,Debt Consolidation,0
403172,38,90385,34038,830,30,0.54,Education,0
403173,69,165606,15330,780,4,0.31,Education,0
403174,33,115183,46962,600,11,0.6,Home Improvement,1
403175,72,80286,41779,777,6,0.45,Medical,1
403176,67,153932,22484,551,20,0.46,Auto,1
403177,38,74145,48587,574,17,0.46,Medical,0
403178,63,120769,2714,718,13,0.15,Business,0
403179,30,36131,30613,662,3,0.44,Debt Consolidation,0
403180,51,166439,11304,599,24,0.49,Medical,1
403181,61,137033,38659,789,24,0.16,Home Improvement,0
403182,39,162129,8391,823,32,0.21,Auto,0
403183,28,49735,58139,625,14,0.58,Home Improvement,0
403184,68,153627,24863,797,30,0.2,Debt Consolidation,0
403185,28,94064,36382,666,16,0.09,Home Improvement,0
403186,37,101049,12994,840,19,0.11,Debt Consolidation,0
403187,26,141429,36217,554,4,0.36,Auto,0
403188,35,131081,16573,820,28,0.61,Home Improvement,1
403189,55,48252,47290,746,3,0.22,Debt Consolidation,0
403190,72,169269,27202,682,2,0.63,Medical,0
403191,21,36316,7760,726,6,0.61,Home Improvement,1
403192,57,117986,21572,558,33,0.44,Auto,1
403193,70,124574,52273,702,1,0.36,Business,0
403194,45,165746,10044,680,22,0.19,Debt Consolidation,0
403195,26,90356,8262,774,17,0.41,Education,0
403196,43,62431,8503,802,30,0.27,Business,0
403197,66,122032,51374,588,11,0.4,Auto,0
403198,42,96302,52999,717,12,0.46,Home Improvement,0
403199,65,155822,46084,847,5,0.05,Business,0
403200,58,113586,58122,620,5,0.08,Education,0
403201,53,84331,3660,685,29,0.27,Debt Consolidation,0
403202,44,129596,28953,635,31,0.38,Medical,0
403203,50,117260,21400,591,27,0.27,Business,1
403204,71,162252,6587,600,26,0.09,Home Improvement,1
403205,67,112796,23061,829,32,0.55,Debt Consolidation,0
403206,63,173459,36174,541,16,0.11,Business,1
403207,46,43237,34669,540,12,0.37,Medical,0
403208,71,149455,23012,665,15,0.54,Medical,1
403209,64,98303,45637,689,25,0.17,Education,0
403210,21,147086,27884,534,26,0.4,Auto,1
403211,36,167152,36137,778,27,0.47,Business,1
403212,67,139268,33039,614,24,0.28,Auto,1
403213,39,62238,20146,766,22,0.28,Medical,0
403214,56,151831,3942,781,21,0.07,Auto,0
403215,48,78623,56255,777,14,0.54,Auto,0
403216,25,124925,36328,780,6,0.13,Auto,0
403217,68,119525,20529,805,21,0.12,Debt Consolidation,0
403218,47,76716,39256,559,29,0.13,Home Improvement,0
403219,38,68208,14908,618,9,0.49,Debt Consolidation,0
403220,32,169601,24771,822,24,0.14,Home Improvement,0
403221,26,153828,47119,629,18,0.3,Education,0
403222,21,140787,26224,620,34,0.55,Medical,0
403223,62,168307,53923,790,0,0.28,Home Improvement,0
403224,63,55946,54017,774,31,0.38,Business,0
403225,21,71184,23136,696,30,0.41,Medical,0
403226,68,32285,40841,527,32,0.46,Education,0
